what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1581689277279
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1581689277279
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1581689277279
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1581689277289
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1581689277289
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1581689277289
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1581689277289
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1581689277289
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1581689277289
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1581689277289
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1581689277289
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1581689277289
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1581689277289
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1581689277289
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1581689277289
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1581689277289
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1581689277289
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1581689277289
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1581689277289
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1581689277289
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1581689277289
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1581689277289
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1581689277289
os,sysinfo,,,"win32",1581689277299
arch,sysinfo,,,"x86",1581689277299
ws,sysinfo,,,"win32",1581689277299
locale,sysinfo,,,"fr_FR",1581689277299
processors,sysinfo,,,"4",1581689277299
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1581689277299
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1581689277299
java.specification.name,sysinfo,,,"Java Platform API Specification",1581689277299
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1581689277299
java.specification.version,sysinfo,,,"1.6",1581689277299
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1581689277299
java.version,sysinfo,,,"1.6.0_23",1581689277299
java.vm.info,sysinfo,,,"mixed mode",1581689277299
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1581689277299
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1581689277299
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1581689277299
java.vm.specification.version,sysinfo,,,"1.0",1581689277299
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1581689277299
java.vm.version,sysinfo,,,"19.0-b09",1581689277299
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1581689277299
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1581689298268
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1581689298528
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1581689298548
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1581689298568
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1581689298608
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1581689300148
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1581689300178
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1581689300188
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1581689300228
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1581689300968
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1581689300988
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1581689304077
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1581689304727
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1581689305797
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1581689320236
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1581689324006
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1581689324156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1581689325846
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1581689329616
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1581689329956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581689330096
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581689331266
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1581689332496
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1581689332856
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1581689339525
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1581689339525
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1581689339525
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1581689339525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581689339565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581689350224
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1581689350934
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1581689350934
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1581689352664
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1581689354943
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581689355203
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581689362353
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1581689366022
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1581689366262
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1581689366272
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1581689375997
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1581689376777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581689377097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581689385956
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1581689385986
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1581689390366
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1581689392296
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1581689394135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581689395995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581689449510
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1581689449710
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1581689451710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581689452060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581689479865
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1581689485475
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1581689485775
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1581689493920
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1581689506439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581689506869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581689513148
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1581689513168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581689519678
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581689520607
