what,kind,bundleId,bundleVersion,description,time
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1580371524794
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1580371524974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371529283
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1580371532023
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1580371532293
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1580371532483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371541891
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1580371541921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371546041
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1580371551710
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1580371552080
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1580371552850
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1580371552870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371565778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371565798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371565818
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1580371565898
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1580371565948
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1580371565948
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1580371566178
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1580371566178
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1580371566228
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1580371572647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371577606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371581705
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1580371581715
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371590334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371594503
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1580371606692
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1580371612253
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1580371612293
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1580371612533
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1580371613802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371614952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371698234
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1580371701723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371715411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371720590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371721330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371726680
error,log,,,"Unable to validate connection settings.",1580371734178
error,log,,,"Unable to validate connection settings.",1580371734228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371734308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371742477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371751376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371755205
error,log,,,"Unable to validate connection settings.",1580371761424
error,log,,,"Unable to validate connection settings.",1580371761424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371761434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371764574
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1580371779612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371779862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371779942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371785351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371791160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371794269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371797089
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1580371798869
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1580371799319
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1580371799329
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x8109040, /cygdrive/c/Users/qforcio/Desktop/A3/TP1/PARTIE2/sys_emb/software/hello_world2/hello_world2.elf] return code: 4, 'other error'",1580371808683
error,log,,,"Downloading ELF Process failed",1580371808683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371808693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371815542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371819902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371826532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371832921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371840191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371843151
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371845881
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1580371847590
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1580371851112
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x8109040, --reset-target, /cygdrive/c/Users/qforcio/Desktop/A3/TP1/PARTIE2/sys_emb/software/hello_world2/hello_world2.elf] return code: 4, 'other error'",1580371857584
error,log,,,"Downloading ELF Process failed",1580371857584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371857604
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371859664
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1580371860854
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371866674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371866953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371867473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371870313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371891892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371897662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371897942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371902152
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371917581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371920751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371923571
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371926231
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1580371927960
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1580371931311
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x8109040, --reset-target, /cygdrive/c/Users/qforcio/Desktop/A3/TP1/PARTIE2/sys_emb/software/hello_world2/hello_world2.elf] return code: 4, 'other error'",1580371937333
error,log,,,"Downloading ELF Process failed",1580371937333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371937353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371939763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371940913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371942423
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1580371952942
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1580371953042
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1580371953052
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1580371953082
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371956492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371957482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371957842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371960272
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580371961882
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580372023049
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580372025739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580372027099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580372027758
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580372029908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580372030848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580372031778
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1580372042038
executed,command,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project.commands.bspEditor",1580372047917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580372048177
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580372058267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580372069796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580372070376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580372086346
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580372090185
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1580372093565
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1580372105215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580372107474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580372126374
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580372136584
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580372139774
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580372156644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580372156994
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580372157514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580372160144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580372163274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580372168733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580372168743
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580372172633
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580372183993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580372193923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580372196723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580372207703
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1580372209443
