what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1579776405305
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1579776407525
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1579776412086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579776416416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579776419077
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1579776437069
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1579776439770
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --sidp=0x8109040, --id=0x0, --timestamp=1579772844] return code: 139",1579776441841
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --sidp=0x8109040, --id=0x0, --timestamp=1579772844, --reset-target, /cygdrive/c/Users/qforcio/Desktop/A3/TP1/PARTIE2/sys_emb/software/hello_world2/hello_world2.elf] return code: 139",1579776446319
error,log,,,"Downloading ELF Process failed",1579776446319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579776446329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579776449979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579776453129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579776469041
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1579776472221
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1579776474213
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x8109040] return code: 139",1579776475163
